SceneID,Comment,SceneType,IsStaticScene,PreTask,PreScene,RequiredLevel,SyncMode,SwitchToSelf,CanReconnect,EndTimeOut,IsCanQuit,DelayTransfer,LineRoleCount,Buff,SceneFile,UnitySceneFile,ScenePath,BGM,BlockFilePath,OperationSettings,StartPos,StartFace,StartRot,Chapter,UIPos,BoxUIPos,UIIcon,FatigueCost,ViewableDropList,Exp,Drop,Drop1,Drop2,Drop3,Drop4,Drop5,Money,FirstDownExp,FirstDownDrop,FirstDownMoney,FirstSSS,ExpSealReward,SceneChest,DiamondDropID,GoldDropID,SilverDropID,CopperDropID,SBox,SSBox,SSSBox,IsBoss,RecommendPower,BossAvatar,BossIcon,EndCutScene,EndCutSceneTime,WinCondition,LoseCondition,WinDelayTime,DayLimit,CoolDown,DayLimitGroupID,CanDrawBox,HasFlyOut,DynamicScene,EnvSet,CanRevive,ReviveNumb,ReviveCost,ReviveMoneyCost,ReviveTime,ReviveBuff,ReviveBuffTip,CanPause,ShowUp,LoadingTips,LoadingPic,SceneCanNavi,ShowAutoFight,ShowBattleStatistics,RandomTaskType,RandomTaskSpecify,UseSupplement,HurtCoef,MiniMap,MiniMapSize,MiniMapOutSize,MiniMapRotation,StaticMiniMapCenter,SceneAI,PPTCoff,GuildExpBounus,FailText,LeaveSceneTip,RecommendHint,TeamInfoDefaultTab,CombatType,SweepNeedPPT,TimeCounter,HasComboBuff,DisplayPet,AutoReturn,StoryDriver,MinPassTime,ShowSkill,ShowNormalAttack,WinConditionTips,BattleExplainTips,DPS,CanVIPRevive,HideTeamIndicate,ShieldSight,SpecifiedTargetLocatedRange,SpactivityActiveDrop,SpActivityDrop,VipReviveLimit
11202,消失的满月沙漠,2,0,124,,66,0,FALSE,,,TRUE,,,,Level/111_2,DN_Lv5_5_3,DN_Lv_5/DN_Lv5_5_3/DN_Lv5_5_3,Audio/mapambience/BGM_Desert,Table/SceneBlock/scene503,11|1011,50.85=13.2=132.25,,0|-20|0|1,1001,-372|-150,,,6=6,269,600,,11202001,11202001,11202001,,,500,600,11202001,500,,,,,,,,,,,,109800,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv5_2,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,挑战巢穴可以获得A级套装的材料|传说中有一种强大的龙器，获得者会拥有不可思议的力量,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_500,200|200,,-20,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,500=50,,FALSE,,-1,,,1
11203,绿洲岛屿,2,0,125,,67,0,FALSE,,,TRUE,,,,Level/111_3,DN_Lv3_3_1,DN_Lv_3/DN_Lv3_3_1/DN_Lv3_3_1,Audio/mapambience/shulin,Table/SceneBlock/scene301,11|1011,47.15002=0.6009998=49.89001,,0|0|0|1,1001,-212|-196,,,6=6,269,600,,11203001,11203001,11203001,,,500,600,11203001,500,,,,,,,,,,,,112400,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv5_3,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,巢穴的难度非常高，请一定要收集好套装再去挑战哦|多去黑暗神殿获取强化材料，提升战斗力吧,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_301,200|200,,53,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,500=50,,FALSE,,-1,,,1
11204,巨蛛领主之巢,2,0,126,,67,0,FALSE,,,TRUE,,,,Level/111_4,DN_Lv5_5_3,DN_Lv_5/DN_Lv5_5_3/DN_Lv5_5_3,Audio/mapambience/shinei,Table/SceneBlock/scene503,11|1011,71.58=6=81.01,,0|160|0|1,1001,-110|-87,,,6=6,269,600,,11204001,11204001,11204001,,,500,600,11204001,500,,,,,,,,,,,,114550,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv5_4,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,想看看顶级强化的特效吗？多去强化吧|BOSSRUSH产出金属板，可以制作纹章哦,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_500,200|200,,160,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,500=50,,FALSE,,-1,,,1
11205,被占领的古代寺院,2,0,127,,68,0,FALSE,,,TRUE,,,,Level/111_5,DN_LV2_2_2,DN_LV_2/DN_LV2_2_2/DN_LV2_2_2,Audio/mapambience/BGM_Desert,Table/SceneBlock/scene202,11|1011,93.8=4.55=84.25,,0|-20|0|1,1001,68|-35,,,6=6,269|336,600,,11205000|11205001,11205000|11205001,11205000|11205001,,,500,600,11205000|11205001,500,,,,,,,,,,,,117150,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv5_5,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,穿戴合适的纹章，可以大大提升战斗力哦|如果想体验新的转职，可以在技能界面选择重置,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_202,200|200,,-20,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,500=50,,FALSE,,-1,,,1
11206,石化殿堂,2,0,128,,68,0,FALSE,,,TRUE,,,,Level/111_6,DN_Lv5_5_3,DN_Lv_5/DN_Lv5_5_3/DN_Lv5_5_3,Audio/mapambience/BGM_Desert,Table/SceneBlock/scene503,11|1011,98.75=3.014=46.57,,0|-130|0|1,1001,130|74,,,6=6,269,600,,11206001,11206001,11206001,,,500,600,11206001,500,,,,,,,,,,,,119300,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv5_6,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,想不想挑战终极的巨龙，快快升级吧|40级开放龙穴，可以挑战真正的巨龙哦,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_500,200|200,,-130,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,500=50,,FALSE,,-1,,,1
11207,百合花基地,2,0,129,,69,0,FALSE,,,TRUE,,,,Level/111_7,DN_Lv5_5_3,DN_Lv_5/DN_Lv5_5_3/DN_Lv5_5_3,Audio/mapambience/BGM_Desert,Table/SceneBlock/scene503,11|1011,83.48=3.011=49.81,,0|150|0|1,1001,314|48,,,6=6,269,600,,11207001,11207001,11207001,,,500,600,11207001,500,,,,,,,,,,,,121950,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv5_7,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,参加语音答题会有丰富的奖励哦|和同一个公会的伙伴组队，会有额外奖励哦,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_500,200|200,,150,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,500=50,,FALSE,,-1,,,1
11208,沙尘之海,2,0,130,,69,0,FALSE,,,TRUE,,,,Level/111_8,DN_Lv5_5_3,DN_Lv_5/DN_Lv5_5_3/DN_Lv5_5_3,Audio/mapambience/BGM_Desert,Table/SceneBlock/scene503,11|1011,50.85=13.2=132.25,,0|-20|0|1,1001,212|-37,,,6=6,269,600,,11208001,11208001,11208001,,,500,600,11208001,500,,,,,,,,,,,,124100,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv5_8,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,潘多拉之心里会有各式各样的产出，超值哦|战斗的时候多和你的伙伴沟通，才能闯过高难度的副本,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_500,200|200,,-20,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,500=50,,FALSE,,-1,,,1
11209,砂石深渊,2,0,131,,70,0,FALSE,,,TRUE,,,,Level/111_9,DN_Lv5_5_3,DN_Lv_5/DN_Lv5_5_3/DN_Lv5_5_3,Audio/mapambience/BGM_Desert,Table/SceneBlock/scene503,11|1011,103.2405=3.123029=48.76305,,0|-120|0|1,1001,170|-168,,,6=6,269,600,,11209001,11209001,11209001,,,500,600,11209001,500,,,,,,,,,,,,126800,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv5_9,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,装备强化是提升战力的主要途径|黑暗神殿可以获得很多金币和强化材料哦,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_500,200|200,,-120,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,500=50,,FALSE,,-1,,,1
11210,阿勒努特峡谷,2,0,132,,70,0,FALSE,,,TRUE,,,,Level/111_10,DN_Lv5_5_3,DN_Lv_5/DN_Lv5_5_3/DN_Lv5_5_3,Audio/mapambience/BGM_Desert,Table/SceneBlock/scene503,11|1011,50.85=13.2=132.25,,0|-20|0|1,1001,378|-80,,,6=6,269|337,600,,11210000|11210001,11210000|11210001,11210000|11210001,,,500,600,11210000|11210001,500,,,,,,,,,,,,128950,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv5_10,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,请多用语音沟通，合作才能闯过超难副本|龙穴的难度超乎你的想象，只有真正的勇士才能征服,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_500,200|200,,-20,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,500=50,,FALSE,,-1,,,1
11301,暗影沙地,2,0,133,,71,0,FALSE,,,TRUE,,,,Level/112_1,DN_LV2_2_6,DN_LV_2/DN_LV2_2_6/DN_LV2_2_6,Audio/mapambience/heishan,Table/SceneBlock/scene206,11|1011,67.43081=11.47017=84.11157,,0|17|0|1,1002,-160|106,,,6=6,277|335,600,,11301000|11301001,11301000|11301001,11301000|11301001,,,500,600,11301000|11301001,,,,,,,,,,,,TRUE,131650,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv112_1,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,竞技场取得好成绩，可以获得丰厚奖励哦|想要A级首饰，去挑战无尽深渊吧,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_206,200|200,,10,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,1659=83,,FALSE,,-1,,,1
11302,满月沙漠,2,0,134,,72,0,FALSE,,,TRUE,,,,Level/112_2,DN_LV2_2_4,DN_LV_2/DN_LV2_2_4/DN_LV2_2_4,Audio/mapambience/zhaoze,Table/SceneBlock/scene204,11|1011,46.83=18.93=176.67,,0|152.7662|0|1,1002,-372|-150,,,6=6,277,600,,11302001,11302001,11302001,,,500,600,11302001,,,,,,,,,,,,TRUE,134400,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv112_2,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,好友之间送花可以得到额外奖励|装备强化是提升战力的主要途径,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_204,200|200,,40,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,1809=90,,FALSE,,-1,,,1
11303,月光林地,2,0,135,,73,0,FALSE,,,TRUE,,,,Level/112_3,DN_LV2_2_4,DN_LV_2/DN_LV2_2_4/DN_LV2_2_4,Audio/mapambience/zhaoze,Table/SceneBlock/scene204,11|1011,80.19=9.03=75.27,,0|45|0|1,1002,-212|-196,,,6=6,277,600,,11303001,11303001,11303001,,,500,600,11303001,,,,,,,,,,,,TRUE,137150,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv112_3,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,好友之间送花可以得到额外奖励|装备强化是提升战力的主要途径,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_204,200|200,,40,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,1809=90,,FALSE,,-1,,,1
11304,精灵小道,2,0,136,,74,0,FALSE,,,TRUE,,,,Level/112_4,DN_LV2_2_1,DN_LV_2/DN_LV2_2_1/DN_LV2_2_1,Audio/mapambience/BGM_Desert,Table/SceneBlock/scene201,11|1011,107.46=6.55=160.94,,0|-160|0|1,1002,-110|-87,,,6=6,277,600,,11304001,11304001,11304001,,,500,600,11304001,,,,,,,,,,,,TRUE,139950,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv112_4,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免+30%{n}魔法伤害减免+30%,TRUE,TRUE,想不想挑战终极的巨龙，快快升级吧|40级开放龙穴，可以挑战真正的巨龙哦,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_201,200|200,,180,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,2866=143,,FALSE,,-1,,,1
11305,精灵小道深处,2,0,137,,75,0,FALSE,,,TRUE,,,,Level/112_5,DN_LV2_2_2,DN_LV_2/DN_LV2_2_2/DN_LV2_2_2,Audio/mapambience/shinei,Table/SceneBlock/scene202,11|1011,95.31=0.05=36.19,,0|90|0|1,1002,68|-35,,,6=6,277|336,600,,11305000|11305001,11305000|11305001,11305000|11305001,,,500,600,11305000|11305001,,,,,,,,,,,,TRUE,142750,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv112_5,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,想重新加点自己的技能，可以通过技能界面重置哦|公会技能可通过贡献进行修炼以增长属性,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_202,200|200,,90,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,1629=81,,FALSE,,-1,,,1
11306,暗金废弃矿山,2,0,138,,76,0,FALSE,,,TRUE,,,,Level/112_6,DN_LV2_2_3,DN_LV_2/DN_LV2_2_3/DN_LV2_2_3,Audio/mapambience/shinei,Table/SceneBlock/scene203,11|1011,14.2=10.1=64.5,,0|-180|0|1,1002,130|74,,,6=6,277,600,,11306001,11306001,11306001,,,500,600,11306001,,,,,,,,,,,,TRUE,145550,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv112_6,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,每日固定体力120点，可以通过龙币兑换，也可以等待时间回复体力|公会获得的贡献及勋章对增加战斗力非常有用哦,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_203,200|200,,140,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,1258=63,,FALSE,,-1,,,1
11307,邪影废村遗迹,2,0,139,,77,0,FALSE,,,TRUE,,,,Level/112_7,DN_LV2_2_5,DN_LV_2/DN_LV2_2_5/DN_LV2_2_5,Audio/mapambience/shinei,Table/SceneBlock/scene205,11|1011,48.96=15.82=30.76,,0|10|0|1,1002,314|48,,,6=6,277,600,,11307001,11307001,11307001,,,500,600,11307001,,,,,,,,,,,,TRUE,148350,,TXBOSSicon_25,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv112_7,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,顶级的冒险家都会拥有令人羡慕的头衔，快快升级吧|前往天梯赛，争夺操作王者吧，16级开启哦,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_205,200|200,,0,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,106=5,,FALSE,,-1,,,1
11308,黄金草原边缘,2,0,140,,78,0,FALSE,,,TRUE,,,,Level/112_8,DN_LV2_2_5,DN_LV_2/DN_LV2_2_5/DN_LV2_2_5,Audio/mapambience/shinei,Table/SceneBlock/scene205,11|1011,85.51=15.02=58.95,,0|40|0|1,1002,212|-37,,,6=6,277,600,,11308001,11308001,11308001,,,500,600,11308001,,,,,,,,,,,,TRUE,151250,,TXBOSSicon_25,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv112_8,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,顶级的冒险家都会拥有令人羡慕的头衔，快快升级吧|前往天梯赛，争夺操作王者吧，16级开启哦,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_205,200|200,,0,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,106=5,,FALSE,,-1,,,1
11309,金色林地,2,0,141,,79,0,FALSE,,,TRUE,,,,Level/112_9,DN_LV2_2_3,DN_LV_2/DN_LV2_2_3/DN_LV2_2_3,Audio/mapambience/shinei,Table/SceneBlock/scene203,11|1011,130.81=15.87=92.97,,0|-40|0|1,1002,170|-168,,,6=6,277,600,,11309001,11309001,11309001,,,500,600,11309001,,,,,,,,,,,,TRUE,154100,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv112_9,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,每日固定体力120点，可以通过龙币兑换，也可以等待时间回复体力|公会获得的贡献及勋章对增加战斗力非常有用哦,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_203,200|200,,140,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,1258=63,,FALSE,,-1,,,1
11310,被污染的金色林地,2,0,142,,80,0,FALSE,,,TRUE,,,,Level/112_10,DN_LV2_2_8,DN_LV_2/DN_LV2_2_8/DN_LV2_2_8,Audio/mapambience/beisikede,Table/SceneBlock/scene208,11|1011,153.33=9.87=35.99,,0|0|0|1,1002,378|-80,,,6=6,277|337,600,,11310000|11310001,11310000|11310001,11310000|11310001,,,500,600,11310000|11310001,,,,,,,,,,,,TRUE,157000,,TXBOSSicon_36,,,1=0,1=0,,,,,FALSE,TRUE,DN_Lv112_10,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4006,物理伤害减免{n}+30%{n}魔法伤害减免{n}+30%,TRUE,TRUE,装备强化到较高等级，会有华丽的特效哦|单杀巨龙，你也可以，快去龙之远征体验吧,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,FALSE,,,1,1,minimap_208,200|200,,0,,,,,战斗失败不会扣除体力,战斗失败不会扣除体力{n}（退出会丢失已获取的战利品）,,,,1000,,FALSE,FALSE,8,,1,TRUE,TRUE,,,2147=107,,FALSE,,-1,,,1
112,挖掘场深处,13,0,,202,12,1,FALSE,,,TRUE,,,,Level/11_1,DN_Lv1_1_2,DN_Lv_1/DN_Lv1_1_2/DN_Lv1_1_2,Audio/mapambience/shulin,Table/SceneBlock/scene102,21|1021,54.061=8.12=40.027,,0|30|0|1,11,-209|125,-25|202,,6=12,80,1440,,112005,112005,112005,,,1000,1440,112005,1000,,,411,112103,112102,112101,112100,1=10|2=15|3=70|4=5,1=5|2=15|3=70|4=10,1=0|2=15|3=70|4=15,TRUE,6000,,TXBOSSicon_02,,,1=0,2=0,,,,,TRUE,TRUE,DN_Lv1_11_1,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4007,物理伤害减免{n}+20%{n}魔法伤害减免{n}+20%,FALSE,FALSE,深渊关卡会获得大量经验哦|16级开启天梯赛，真实竞技，操作为王,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,TRUE,,,1,1,minimap_102,200|200,,30,,,,,失败不扣除深渊次数和体力,战斗失败不会扣除深渊次数和体力{n}（退出会丢失已获取的战利品）,,1,,6000,,FALSE,FALSE,30,,0,TRUE,TRUE,,,121=15,,FALSE,,-1,,,1
114,兽人巢穴,13,0,,203|112,14,1,FALSE,,,TRUE,,,,Level/11_4,DN_Lv1_1_1,DN_Lv_1/DN_Lv1_1_1/DN_Lv1_1_1,Audio/mapambience/heishan,Table/SceneBlock/scene101,21|1021,135.6=1.08=46.3,,0|0|0|1,11,182|107,10|27,,6=12,80,1440,,114005,114005,114005,,,1000,1440,114005,1000,,,412,114103,114102,114101,114100,1=10|2=15|3=70|4=5,1=5|2=15|3=70|4=10,1=0|2=15|3=70|4=15,TRUE,7700,,TXBOSSicon_04,,,1=0,2=0|4=14415,,,,,TRUE,TRUE,DN_Lv11_4,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4007,物理伤害减免{n}+20%{n}魔法伤害减免{n}+20%,FALSE,FALSE,深渊关卡会产出B级套装材料，多多来刷吧|20级开放英雄战场，化身英雄，争夺全场最佳吧,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,TRUE,,,1,1,minimap_101,200|200,,0,,,,,失败不扣除深渊次数和体力,战斗失败不会扣除深渊次数和体力{n}（退出会丢失已获取的战利品）,,1,,7700,,FALSE,FALSE,30,,0,TRUE,TRUE,,,248=30,,FALSE,,-1,,,1
115,马里安神殿,13,0,,205|114,15,1,FALSE,,,TRUE,,,,Level/11_5,DN_Lv1_1_4,DN_Lv_1/DN_Lv1_1_4/DN_Lv1_1_4,Audio/mapambience/shinei,Table/SceneBlock/scene104,21|1021,21.51234=0.02=27.44312,,0|0|0|1,11,-244|-33,-161|-168,,6=12,79,1440,,115005,115005,115005,,,1000,1440,115005,1000,,,413,115103,115102,115101,115100,1=10|2=15|3=70|4=5,1=5|2=15|3=70|4=10,1=0|2=15|3=70|4=15,TRUE,10700,,TXBOSSicon_05,,,1=0,2=0,,,,,TRUE,TRUE,DN_Lv1_11_2,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4007,物理伤害减免{n}+20%{n}魔法伤害减免{n}+20%,FALSE,FALSE,深渊关卡可以获得大量经验|20级开放英雄战场，化身传说英雄，公平竞技，精彩绝伦,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,TRUE,,,1,1,minimap_104,150|150,,0,,Scene_11_5,,,失败不扣除深渊次数和体力,战斗失败不会扣除深渊次数和体力{n}（退出会丢失已获取的战利品）,穿戴4件 16级B装进行挑战,1,,10700,,FALSE,FALSE,30,,0,TRUE,TRUE,,,908=109,,FALSE,,-1,,,1
116,死亡之村,13,0,,205|115,16,1,FALSE,,,TRUE,,,,Level/11_6,DN_LV2_2_2,DN_LV_2/DN_LV2_2_2/DN_LV2_2_2,Audio/mapambience/shinei,Table/SceneBlock/scene202,21|1021,97.03829=0.01999997=36.53828,,0|90|0|1,11,22|-158,161|-180,,6=12,79|80|16247|16248|16249,1440,,116001|116005,116001|116005,116001|116005,,,1000,1440,116001|116005,1000,,,414,116103,116102,116101,116100,1=10|2=15|3=70|4=5,1=5|2=15|3=70|4=10,1=0|2=15|3=70|4=15,TRUE,13600,,TXBOSSicon_05,,,1=0,2=0,,,,,TRUE,TRUE,DN_LV2_11_6,,TRUE,3,900=1|900=2|900=3,7=20|7=40|7=60,,4007,物理伤害减免{n}+20%{n}魔法伤害减免{n}+20%,FALSE,FALSE,想要制作高级套装，就来多多挑战深渊关卡吧|深渊关卡可以获得大量经验，更有首饰掉落哦,Loading_00|Loading_01|Loading_02|Loading_03|Loading_04|Loading_08,TRUE,TRUE,TRUE,,,1,1,minimap_202,200|200,,90,,Scene_11_6,,,失败不扣除深渊次数和体力,战斗失败不会扣除深渊次数和体力{n}（退出会丢失已获取的战利品）,穿戴7件 16级B装进行挑战,1,,13600,,FALSE,FALSE,30,,0,TRUE,TRUE,,,1107=133,,FALSE,,-1,,,1
